idA,Name,Weight
060703|060705|060706A,菜场,7.6299+1.5259441558441553
060704A,水果店,4.3581+4.3581+2.614968831168831
061100A,服装店,0.2783+0.2783+0.2783+0.2783+0.2783+0.2783+0.2783+0.2783+0.2783
071100A,理发店,0.9334+0.5601064935064934
050000/050101|050119A,小吃店/特色小吃/沿街小饭馆,0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.9795+0.8813441558441557
090600A,药店,0.616883117
060400A,大型超市,5.4309+5.4309+1.086251948051947
110000A,风景名胜,0.4373+0.4373+0.4373+0.4373+0.3936571428571427
110100A,小型公园,1.5669+1.5669+0.470096103896104
160100|160300A,银行/ATM,0.454545455
150700|150500|150600A,公交车站/地铁站,3.8545+3.8545+3.8545+3.4689675324675324
080100A,运动健身场所,2.337662338
060200A,便利店/小型超市,3.3604+3.3604+3.3604+3.3604
090100A,医院,0.584415584
050101|050119A,大型饭店,1.3952+1.3952+1.3952+0.976737662337662
141203|141204A,幼儿园/小学,1.818181818
200100|140500|061205A,书报,3.019480519
080300A,娱乐场所,1.2229+1.2229+1.2229
